Skill Name,Repository,GitHub URL,Installs,Trust Score,Description
marketing-demand-acquisition,alirezarezvani/claude-skills,https://github.com/alirezarezvani/claude-skills,31,8.9,Marketing demand acquisition strategies
react-native,alinaqi/claude-bootstrap,https://github.com/alinaqi/claude-bootstrap,31,8.7,React Native development patterns
android-kotlin,alinaqi/claude-bootstrap,https://github.com/alinaqi/claude-bootstrap,31,8.7,Android Kotlin development patterns
threejs-animation,CloudAI-X/threejs-skills,https://github.com/CloudAI-X/threejs-skills,31,N/A,Three.js 3D animation patterns
design-system-patterns,wshobson/agents,https://github.com/wshobson/agents,30,9.5,Design system architecture patterns
tanstack-query,secondsky/claude-skills,https://github.com/secondsky/claude-skills,30,6.5,TanStack Query data fetching patterns
openrouter,rawveg/skillsforge-marketplace,https://github.com/rawveg/skillsforge-marketplace,30,9.0,OpenRouter AI model routing
vueuse,onmax/nuxt-skills,https://github.com/onmax/nuxt-skills,30,9.6,VueUse composables integration
typescript,martinholovsky/claude-skills-generator,https://github.com/martinholovsky/claude-skills-generator,30,7.7,TypeScript development patterns
fastapi,martinholovsky/claude-skills-generator,https://github.com/martinholovsky/claude-skills-generator,30,7.7,No description available
company-product-context,lofcz/llmtornado,https://github.com/lofcz/llmtornado,30,9.5,Company and product context management
qdrant-vector-search,davila7/claude-code-templates,https://github.com/davila7/claude-code-templates,30,10.0,Qdrant vector search integration
devops-iac-engineer,davila7/claude-code-templates,https://github.com/davila7/claude-code-templates,30,10.0,DevOps Infrastructure as Code engineering
app-router,davepoon/claude-code-subagents-collection,https://github.com/davepoon/claude-code-subagents-collection,30,9.5,Next.js App Router subagent patterns
product-strategist,alirezarezvani/claude-skills,https://github.com/alirezarezvani/claude-skills,30,8.9,Product strategy frameworks
better-auth-ts,NaimalArain13/Hackathon-II_The-Evolution-of-Todo,https://github.com/NaimalArain13/Hackathon-II_The-Evolution-of-Todo,30,N/A,Better Auth TypeScript integration
nuxt-content,onmax/nuxt-skills,https://github.com/onmax/nuxt-skills,29,9.6,Nuxt Content module patterns
ui-styling,mrgoonie/claudekit-skills,https://github.com/mrgoonie/claudekit-skills,29,N/A,UI styling patterns and techniques
gh-cli,github/awesome-copilot,https://github.com/github/awesome-copilot,29,8.2,GitHub CLI automation patterns
tailwind-v4,existential-birds/beagle,https://github.com/existential-birds/beagle,29,N/A,No description available
vueuse-functions,antfu/skills,https://github.com/antfu/skills,29,9.9,VueUse utility functions
senior-secops,alirezarezvani/claude-skills,https://github.com/alirezarezvani/claude-skills,29,8.9,Senior security operations practices
database-migration,wshobson/agents,https://github.com/wshobson/agents,28,9.5,Database migration strategies
verification-before-completion,obra/superpowers,https://github.com/obra/superpowers,28,9.5,Verification workflows before task completion
dotnet-dependency,nikiforovall/claude-code-rules,https://github.com/nikiforovall/claude-code-rules,28,10.0,.NET dependency management patterns
shadcn-code-review,existential-birds/beagle,https://github.com/existential-birds/beagle,28,N/A,shadcn/ui code review patterns
senior-backend,davila7/claude-code-templates,https://github.com/davila7/claude-code-templates,28,10.0,Senior-level backend engineering patterns
prisma-patterns,ashchupliak/dream-team,https://github.com/ashchupliak/dream-team,28,5.8,Prisma ORM design patterns
vitepress,antfu/skills,https://github.com/antfu/skills,28,9.9,VitePress documentation site patterns
zod-4,Gentleman-Programming/Gentleman-Skills,https://github.com/Gentleman-Programming/Gentleman-Skills,28,N/A,Zod v4 schema validation patterns
